YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1973,27.22,27.46,25.19,25.98,21.91,22.25,21.63,20.52,20.95,21.95,22.55,25.36,26.96,24.36,21.47,21.82,23.65
1974,26.19,26.67,26.07,23.45,22.27,20.21,20.71,21.32,22.42,22.31,24.02,24.08,26.07,23.93,20.75,22.92,23.42
1975,24.81,26.46,25.97,22.36,20.91,20.04,19.22,22.52,21.94,22.19,23.65,26.10,25.12,23.08,20.59,22.59,22.85
1976,27.05,25.77,25.12,24.56,21.58,20.75,19.71,20.72,20.84,21.63,23.97,25.15,26.31,23.75,20.39,22.15,23.15
1977,26.72,28.10,26.47,23.81,21.94,21.72,22.66,21.88,22.03,23.51,24.07,24.45,26.66,24.07,22.09,23.20,24.00
1978,27.05,26.16,26.03,23.00,21.46,19.64,21.55,20.89,22.10,23.12,24.61,25.29,25.89,23.50,20.69,23.28,23.34
1979,23.49,25.32,24.43,22.99,22.68,19.93,19.92,22.05,21.68,23.88,23.70,25.68,24.70,23.37,20.63,23.09,22.95
1980,25.05,26.90,27.49,24.29,23.07,20.86,21.47,21.88,20.71,22.76,23.86,26.70,25.88,24.95,21.40,22.44,23.67
1981,27.11,27.75,25.95,23.54,22.56,20.63,19.59,21.19,22.88,22.18,24.94,25.44,27.19,24.02,20.47,23.33,23.75
1982,24.26,27.22,24.71,22.44,21.29,22.15,21.01,22.05,22.12,23.21,25.86,24.72,25.64,22.81,21.74,23.73,23.48
1983,26.55,27.37,25.73,23.82,23.56,20.92,21.29,20.65,20.27,22.77,24.99,25.69,26.21,24.37,20.95,22.68,23.55
1984,28.31,28.60,26.29,24.21,24.52,22.66,21.95,20.75,21.66,24.19,24.86,25.02,27.53,25.01,21.79,23.57,24.47
1985,25.31,27.11,26.48,25.02,21.71,19.86,20.07,21.65,20.95,23.02,24.32,24.66,25.81,24.40,20.53,22.76,23.38
1986,27.44,27.64,26.66,25.68,999.90,22.41,20.80,22.37,21.17,22.75,25.47,25.90,26.58,25.10,21.86,23.13,24.17
1987,27.41,26.98,25.59,25.58,22.46,20.21,22.16,20.53,20.75,22.69,24.32,25.83,26.76,24.54,20.97,22.59,23.71
1988,28.58,25.79,26.25,24.41,22.46,19.50,19.00,21.12,21.65,21.95,23.33,25.53,26.73,24.37,19.87,22.31,23.32
1989,26.76,26.37,26.23,25.21,21.70,20.68,19.25,21.45,21.48,21.85,24.63,25.66,26.22,24.38,20.46,22.65,23.43
1990,28.43,27.27,27.30,26.85,21.99,21.30,20.05,19.75,20.97,24.01,25.99,25.91,27.12,25.38,20.37,23.66,24.13
1991,25.27,26.26,25.35,24.55,21.52,21.25,19.47,20.74,20.63,23.42,24.32,27.11,25.81,23.81,20.49,22.79,23.22
1992,27.22,999.90,26.60,24.48,23.40,23.16,20.62,20.79,21.59,23.52,23.68,25.26,27.43,24.83,21.52,22.93,24.18
1993,27.36,27.13,26.69,25.56,22.73,20.86,999.90,999.90,999.90,999.90,999.90,999.90,26.58,24.99,999.90,999.90,999.90
1994,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1995,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1996,999.90,28.08,26.67,25.00,21.92,21.07,19.56,20.50,21.35,23.41,23.87,26.41,999.90,24.53,20.38,22.88,23.50
1997,26.42,27.93,25.25,24.47,22.33,21.43,21.90,21.66,23.18,24.15,26.17,27.68,26.92,24.02,21.66,24.50,24.27
1998,28.48,28.23,27.63,25.94,22.80,20.50,21.21,23.12,23.39,23.14,23.45,26.77,28.13,25.46,21.61,23.33,24.63
1999,27.74,27.87,26.91,24.60,22.12,21.16,21.47,20.85,22.68,21.53,22.95,25.61,27.46,24.54,21.16,22.39,23.89
2000,26.99,26.80,25.76,24.86,22.69,21.85,20.14,21.37,22.19,25.15,25.19,26.67,26.47,24.44,21.12,24.18,24.05
2001,28.17,28.47,27.75,27.09,23.16,22.59,21.24,22.15,22.12,22.98,24.39,25.74,27.77,26.00,21.99,23.16,24.73
2002,26.96,26.21,27.64,26.26,23.30,23.00,21.19,23.41,21.70,25.59,25.59,26.37,26.30,25.73,22.53,24.29,24.72
2003,26.86,28.88,26.63,25.78,22.80,22.96,21.53,20.73,21.82,23.39,25.09,26.22,27.37,25.07,21.74,23.43,24.40
2004,25.90,25.86,25.50,25.31,22.35,21.39,20.59,21.12,23.65,23.08,24.96,25.55,25.99,24.39,21.03,23.90,23.83
2005,26.65,26.02,26.54,25.99,23.75,22.31,20.81,23.31,22.08,25.35,24.50,25.16,26.07,25.43,22.14,23.98,24.40
2006,27.52,27.50,26.91,24.78,21.84,21.29,21.37,22.53,22.13,23.45,24.47,26.52,26.73,24.51,21.73,23.35,24.08
2007,26.20,27.57,28.08,26.45,22.47,21.90,21.22,21.98,23.49,24.67,24.83,26.74,26.76,25.67,21.70,24.33,24.61
2008,26.02,26.31,26.14,25.05,22.46,21.36,20.85,22.43,21.65,24.14,24.04,25.16,26.36,24.55,21.55,23.28,23.93
2009,26.09,27.73,26.32,23.98,22.93,20.48,20.98,21.65,23.78,23.84,28.04,26.33,26.33,24.41,21.04,25.22,24.25
2010,28.71,29.23,26.62,24.72,23.00,20.48,22.06,21.38,22.87,22.99,24.58,27.05,28.09,24.78,21.31,23.48,24.41
2011,28.27,28.82,25.63,25.61,21.99,20.65,20.74,22.45,21.92,23.84,23.37,25.60,28.05,24.41,21.28,23.04,24.19
2012,26.00,28.03,26.70,25.42,22.38,22.80,21.80,22.20,23.15,25.35,24.27,28.22,26.54,24.83,22.27,24.26,24.48
2013,25.82,27.87,25.87,23.89,22.63,22.28,20.55,21.40,23.11,23.29,24.44,25.74,27.30,24.13,21.41,23.61,24.11
2014,28.68,28.64,27.28,25.68,22.98,22.53,21.13,22.33,23.58,24.53,25.53,28.08,27.69,25.31,22.00,24.55,24.89
2015,29.63,28.13,26.48,25.63,22.88,21.68,22.63,23.23,22.98,25.03,26.13,999.90,28.61,25.00,22.51,24.71,25.21
2016,26.77,28.67,27.12,27.62,22.62,20.22,21.22,22.92,22.72,24.17,24.47,26.92,27.34,25.79,21.45,23.79,24.59
2017,28.62,27.97,26.67,25.22,22.27,21.67,19.72,22.12,23.70,25.45,24.95,26.49,27.84,24.72,21.17,24.70,24.61
2018,27.54,26.69,27.29,25.74,23.29,22.39,22.44,21.39,23.19,24.04,25.09,27.04,26.91,25.44,22.07,24.11,24.63
2019,29.74,27.54,26.99,26.04,24.34,22.59,21.24,21.79,23.05,25.25,24.65,26.55,28.11,25.79,21.87,24.32,25.02
2020,27.25,26.75,25.60,25.50,22.20,22.95,22.35,23.30,25.00,25.05,24.45,26.75,26.85,24.43,22.87,24.83,24.75
2021,28.55,26.85,27.80,25.05,23.25,21.75,19.31,22.70,23.90,23.25,23.75,26.10,27.38,25.37,21.25,23.63,24.41
2022,27.40,26.85,28.55,25.70,22.70,21.15,22.80,22.55,21.65,24.90,23.95,26.10,26.78,25.65,22.17,23.50,24.52
2023,27.25,28.55,27.70,25.30,22.85,21.95,21.80,23.70,25.10,25.20,27.05,27.65,27.30,25.28,22.48,25.78,25.21
2024,27.55,28.00,27.25,26.50,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,27.73,25.81,999.90,999.90,999.90
